FID,BUILDINGID,FACILITYKE,SHORTNAME,LONGNAME,FLOORCOUNT,x,y
437, ,7010, ,Building 7010,0,-119.875332169999990,34.410424421899997
438, ,593, ,Building 593,0,-119.852846430000000,34.421323487499997
439, ,1866, ,Building 1866,0,-119.869341691000000,34.419067758499999
440, ,918, ,Building 918,0,-119.871761026000000,34.411783134700002
441, ,977, ,Building 977,0,-119.870190190000000,34.411223521600000
442, ,7070, ,Building 7070,0,-119.876670433000000,34.411006006599997
443, ,893, ,Manzanita Village Figueroa Residence Hall,3,-119.851400512000000,34.410330719299999
444, ,979, ,Building 979,0,-119.869905457000000,34.411203127900002
445, ,243,ICA,Intercollegiate Athletics,2,-119.850457965999990,34.415870492899998
446, ,200, ,The Reef,1,-119.843538278000000,34.407498153699997
447, ,799, ,Storke Apt Community Bldg 799,1,-119.863418182000000,34.421247219400001
448, ,953, ,Sierra Nevada ARL Residence 2,1,-119.870295935000000,34.412454684700002
449, ,701, ,West Apartment 701,2,-119.871417935000000,34.418754734099998
450, ,732, ,West Apartment 732,2,-119.872853155000000,34.418651498199999
451, ,936, ,Engineering Trailer 936,1,-119.843501264000000,34.416170676699998
452, ,812, ,Santa Ynez Apartments 812,2,-119.862474173000000,34.419476121199999
453, ,729, ,West Apartment 729,2,-119.872554916000000,34.417685466099996
454, ,586, ,San Rafael Tower,9,-119.852874477000000,34.410958218899999
455, ,941, ,Embarcadero Hall,2,-119.855754821999990,34.412091787599998
456, ,701, ,West Apartment 701,2,-119.871007955000000,34.418070143900003
457, ,972, ,Facilities Management Trailer 972,1,-119.852858870000010,34.420190055200003
458, ,945, ,El Dorado Apartments,2,-119.870608602999990,34.412598567400003
459, ,716, ,West Apartment 716,2,-119.871464196999990,34.418321112299999
460, ,1869, ,Building 1869,0,-119.868824565000000,34.418999228700002
461, ,1872, ,Building 1872,0,-119.868262927000000,34.419061214400003
462, ,548, ,Santa Cruz Residence Hall,2,-119.843439159000000,34.409901760399997
463, ,528, ,South Hall,7,-119.847508847000000,34.413372518400003
464, ,434, ,Building 434,1,-119.848431439000000,34.413343855199997
465, ,1868, ,Building 1868,0,-119.868650934000000,34.418738659299997
466, , , , ,0,-119.842403635000000,34.415660343100001
467, ,589, ,Storke Publications,4,-119.848247779999990,34.412538833399999
468, ,358, ,West Leisure Service Stable (Red Barn),1,-119.869766596999990,34.414033440399997
469, ,962, ,Building 962,0,-119.870037805000000,34.412261256800001
470, ,731, ,West Apartment 731,2,-119.872871798000010,34.417850055599999
471, ,1867, ,Building 1867,0,-119.869047221000000,34.418936224299998
472, ,577, ,Baseball Lockers,1,-119.852862778000000,34.418887979799997
473, ,371, ,Facilities Management Trailer 371,1,-119.852900074000000,34.420362508200000
474, ,1124, ,Sierra Madre Nacimiento Village,3,-119.871329858000000,34.420221492400003
475, ,564, ,Girvetz Hall,2,-119.846885626000000,34.413298846899998
476, ,913, ,Building 913,0,-119.871792185000000,34.411338132899999
477, ,936, ,936,1,-119.871239230000000,34.412693280799999
478, ,7915, ,Building 7915,0,-119.872967540000000,34.412542312299998
479, ,891, ,Manzanita Village Cuyama Residence Hall,4,-119.852023641000000,34.409943644499997
480, ,1870, ,Building 1870,0,-119.868548418000000,34.419059619499997
481, ,7935, ,West 7935,1,-119.873128188000000,34.412008964999998
482, ,7025, ,Building 7025,0,-119.875390735000000,34.410040892799998
483, ,572, ,Broida Hall,8,-119.843101155000000,34.414091238899999
484, ,536, ,Building 536,0,-119.851992042000010,34.420082332200003
485, ,361, ,West Creative 361,1,-119.877822055000000,34.407933192000002
486, ,774, ,Storke Apartments 774,2,-119.862722068000000,34.421629912299998
487, ,733, ,West Apartment 733,2,-119.872500992000000,34.418891993400003
488, ,1120, ,Sierra Madre Recreation Center,1,-119.871090018000000,34.420084207899997
489, ,1865, ,Building 1865,0,-119.869423660000000,34.418826750800001
490, ,947, ,Westgate Apartments,2,-119.855602383999990,34.416913103799999
491, ,561, ,San Nicholas Residence Hall,10,-119.846147059000000,34.409526858600003
492, ,511, ,Multi-Activity Center,2,-119.850432428000000,34.418960991200002
493, ,884, ,Manzanita Village La Cumbre Residence Hall,4,-119.851948441999990,34.409291490000001
494, ,907, ,Building 907,0,-119.870737220000000,34.411548214699998
495, ,701, ,West Apartment 701,2,-119.870845389000000,34.417632064300001
496, ,494, ,Creative Studies,1,-119.845824909000000,34.411093771499999
497, , , , ,0,-119.851374028000000,34.419452051900002
498, , , , ,0,-119.878795676000000,34.407559185300002
499, , , , ,0,-119.878093797999990,34.408145730100003
500, , , , ,0,-119.878236853999990,34.408135302799998
501, , , , ,0,-119.878293383000000,34.408142705499998
502, , , , ,0,-119.878203717000010,34.408193673400000
503, , , , ,0,-119.878589754000000,34.408160790099998
504, , , , ,0,-119.878556950999990,34.408077747400000
505, , , , ,0,-119.878463931000000,34.408036942800003
506, , , , ,0,-119.878231693999990,34.407929817999999
507, , , , ,0,-119.878123239999990,34.407940766099998
